71.3638916016 0 3 23
291.519714355 5 4 440
21.1743850708 0 1 6
0 1 0 15
224.517425537 1 3 8
52.9648666382 0 3 6
6.22278594971 0 1 3
217.252197266 2 3 15
102.935554504 0 3 16
447.117279053 2 3 174
508.179870605 0 3 17
276.152282715 1 3 15
68.8321762085 0 2 4
265.626159668 1 1 13
4.96648597717 0 1 1
103.08581543 0 1 6
108.254829407 1 2 11
78.1967391968 1 1 21
80.2881317139 1 2 14
655.081176758 1 2 63
15.61419487 1 2 7
12.5639429092 0 1 5
229.604309082 0 2 6
7.63353872299 0 1 4
122.679405212 0 2 10
80.7143783569 5 1 96
387.879608154 0 5 26
294.094818115 3 2 53
6.53476667404 0 1 6
182.502334595 1 1 14
170.026016235 0 1 4
560.584289551 1 5 30
707.601867676 0 2 39
149.377349854 0 2 9
41.0559425354 1 1 8
12.8113460541 0 1 3
879.727905273 1 1 23
70.4909591675 0 2 9
63.1334533691 0 2 4
495.003875732 0 1 18
13.6981296539 1 1 32
50.9835357666 0 2 3
93.9521179199 0 1 3
472.249755859 1 6 56
3.71850156784 0 1 6
32.2907524109 0 2 11
0 1 0 28
119.669921875 0 3 10
235.695526123 1 3 18
284.249267578 1 2 11
348.953430176 0 1 6
17.3140697479 1 2 41
133.50340271 0 3 269
316.697235107 1 1 24
369.518798828 0 3 52
60.2024688721 0 1 6
290.161773682 0 2 18
116.428375244 0 4 16
18.8546218872 0 2 7
84.6409988403 0 2 8
344.731842041 1 3 16
20.2569637299 1 1 6
358.690185547 1 2 25
433.911804199 0 1 15
59.8620758057 0 3 8
437.990386963 1 1 19
55.5953674316 0 1 3
313.857116699 0 1 12
830.658630371 1 2 34
283.467407227 3 3 58
75.2035903931 2 5 45
8.68721199036 0 1 6
174.183532715 1 3 18
465.268188477 1 2 42
116.211380005 0 1 10
70.6461715698 5 3 84
137.468215942 0 1 4
240.368682861 5 10 160
170.002975464 0 3 20
316.643066406 1 2 69
65.2258529663 0 1 4
15.3779344559 3 2 51
155.940963745 1 2 170
166.088745117 0 3 19
109.31578064 2 5 42
60.3169136047 0 2 15
368.386322021 0 1 6
191.06149292 0 1 4
104.720298767 0 2 7
269.174865723 2 4 44
96.0979614258 0 1 6
148.13899231 1 2 12
143.526794434 2 5 56
56.8418273926 0 2 8
363.967010498 3 5 119
48.4122695923 0 1 6
144.744674683 0 1 13
126.269966125 0 1 3
203.856643677 0 3 10
285.378204346 0 3 14
33.232219696 0 1 4
1360.1105957 1 3 51
197.888839722 6 7 668
0 2 0 11
212.389160156 0 2 8
231.118286133 0 4 15
79.186416626 0 1 6
115.106231689 0 2 19
110.549385071 3 1 71
188.521881104 1 2 19
260.691864014 0 1 15
407.049102783 0 3 93
3.83861804008 1 1 2
235.595581055 0 2 8
0 1 0 12
390.420776367 1 1 13
140.992843628 0 2 9
159.218078613 1 1 9
384.817596436 0 5 42
93.1400909424 0 1 3
63.3278923035 0 3 8
144.622665405 8 4 880
251.357269287 1 2 30
3.34609246254 0 1 11
482.884399414 1 2 28
16.3367900848 0 1 4
426.372589111 0 1 11
533.042541504 2 4 48
35.0365524292 1 2 5
66.105758667 1 2 10
63.0888633728 0 1 5
64.5020294189 1 1 9
203.587417603 0 4 22
151.044418335 1 3 76
192.276306152 2 4 62
72.1296157837 0 1 6
9.84499359131 1 1 3
465.154052734 1 1 81
173.025726318 7 11 564
55.7058296204 0 4 14
412.366729736 0 3 48
186.506118774 0 2 14
235.257171631 1 2 12
48.3597755432 0 4 17
272.986694336 0 4 21
61.8445587158 0 3 11
145.048492432 0 1 4
915.991271973 2 3 54
802.044250488 0 1 18
28.6060466766 2 1 68
96.7872695923 2 4 179
228.235778809 0 3 17
77.6413421631 0 1 6
75.6941833496 0 2 4
300.066345215 0 7 35
42.789806366 0 2 5
341.889129639 3 7 385
157.633178711 0 3 16
234.687973022 1 1 8
57.7251701355 0 6 24
252.138198853 1 3 19
52.9738006592 2 1 318
90.4353179932 0 2 11
46.9047355652 4 5 71
282.35736084 0 2 12
338.263885498 4 12 139
45.9521408081 0 2 7
320.580657959 0 3 33
528.90032959 3 4 73
19.3000679016 0 1 4
41.9952430725 0 1 7
148.104187012 2 3 24
22.0639572144 1 2 74
91.7324142456 0 3 29
34.7264900208 0 1 3
27.841753006 0 1 3
